"filename", "language", "CSS", "JSON", "PHP", "JavaScript", "XML", "JSON with Comments", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\laragon\www\formation-doctorat\app\Models\Program.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\laragon\www\formation-doctorat\app\Models\ProgramUniversity.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 8, 28
"c:\laragon\www\formation-doctorat\app\Models\ThesisProposal.php", "PHP", 0, 0, 44, 0, 0, 0, 0, 0, 0, 10, 54
"c:\laragon\www\formation-doctorat\app\Models\University.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 7, 26
"c:\laragon\www\formation-doctorat\app\Models\User.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 16, 10, 58
"c:\laragon\www\formation-doctorat\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 8, 5, 25
"c:\laragon\www\formation-doctorat\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 9, 5, 30
"c:\laragon\www\formation-doctorat\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 3, 5, 20
"c:\laragon\www\formation-doctorat\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 12, 6, 39
"c:\laragon\www\formation-doctorat\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 10, 7, 41
"c:\laragon\www\formation-doctorat\app\Services\FormData.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 9, 52
"c:\laragon\www\formation-doctorat\bootstrap\app.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 30, 8, 55
"c:\laragon\www\formation-doctorat\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\laragon\www\formation-doctorat\composer.json", "JSON", 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"c:\laragon\www\formation-doctorat\composer.lock", "JSON", 0, 9716, 0, 0, 0, 0, 0, 0, 0, 1, 9717
"c:\laragon\www\formation-doctorat\config\app.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 131, 31, 191
"c:\laragon\www\formation-doctorat\config\auth.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 74, 14, 116
"c:\laragon\www\formation-doctorat\config\broadcasting.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 0, 23, 13, 72
"c:\laragon\www\formation-doctorat\config\cache.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 0, 34, 19, 112
"c:\laragon\www\formation-doctorat\config\cors.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 12, 12, 35
"c:\laragon\www\formation-doctorat\config\database.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 47, 22, 152
"c:\laragon\www\formation-doctorat\config\filesystems.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 32, 13, 77
"c:\laragon\www\formation-doctorat\config\hashing.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 32, 9, 55
"c:\laragon\www\formation-doctorat\config\logging.php", "PHP", 0, 0, 79, 0, 0, 0, 0, 0, 34, 19, 132
"c:\laragon\www\formation-doctorat\config\mail.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 54, 19, 128
"c:\laragon\www\formation-doctorat\config\media-library.php", "PHP", 0, 0, 90, 0, 0, 0, 0, 0, 139, 33, 262
"c:\laragon\www\formation-doctorat\config\permission.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 109, 46, 187
"c:\laragon\www\formation-doctorat\config\queue.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 42, 17, 110
"c:\laragon\www\formation-doctorat\config\sanctum.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 53, 14, 84
"c:\laragon\www\formation-doctorat\config\services.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 11, 7, 35
"c:\laragon\www\formation-doctorat\config\session.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 147, 33, 202
"c:\laragon\www\formation-doctorat\config\view.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 20, 7, 37
"c:\laragon\www\formation-doctorat\database\factories\UserFactory.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 11, 6, 42
"c:\laragon\www\formation-doctorat\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 6, 4, 33
"c:\laragon\www\formation-doctorat\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 6, 4, 29
